0.0161253	-4.66838 -3.1361 0.111339 -0.214849 1.62073 3.63299	-6.38962e-05 -0.00169945 0 0 0 0	-0.493382 40.4816 -1.819 0.139242 -0.855126 0.072504	83.863 300.001 104.756 70.391 7.65173 12.7445	0.0676241 0.909587 0.223929 -0.415552 -2.03734 -1.80593	4.52225 8.76279 -1.43849	
0.0241169	-4.66839 -3.13581 0.111326 -0.214802 1.62073 3.63296	-6.38962e-05 0.122054 0 0 0 0	-0.667791 -0.614182 -0.262007 0.471693 -0.796772 0.0870047	0.694159 9.4638 -0.773192 1.35477 0.142929 -0.67652	0.0676365 0.909545 0.224188 -0.415449 -2.03704 -1.80626	4.57619 8.7508 -1.40552	
0.0321331	-4.66839 -3.1349 0.111158 -0.214981 1.62073 3.63299	-6.38962e-05 0.156505 -0.0253105 -0.000310898 0 0	-0.676334 1.69078 -0.000990868 0.459221 -0.869659 0.101505	3.93342 46.1414 4.2937 4.02396 0.442221 -0.22003	0.0676394 0.909459 0.224915 -0.415343 -2.03645 -1.80675	4.78297 9.87762 -0.293691	
0.0402244	-4.66837 -3.13389 0.11068 -0.215304 1.62074 3.63297	-6.38962e-05 0.121082 -0.0694504 -0.0437183 0 0	-0.709592 1.0799 -0.669266 0.415854 -0.89884 0.072504	5.37149 61.9551 4.59882 5.31028 0.548792 -0.0139618	0.0676174 0.909416 0.225566 -0.415235 -2.03625 -1.80693	6.39228 12.1043 -1.89401	
0.0482053	-4.66838 -3.13302 0.109996 -0.215844 1.6207 3.63298	-6.38962e-05 0.0891371 -0.112441 -0.0829782 0 0	-0.673996 0.745243 -1.26426 -0.216384 -0.869737 0.0870047	5.81851 66.9951 5.30913 5.04398 0.549091 0.0865898	0.0676308 0.909433 0.22598 -0.415388 -2.0366 -1.80663	7.18645 13.5607 -2.44843	
0.0561003	-4.66839 -3.13195 0.109097 -0.216443 1.62072 3.63298	-6.38962e-05 0.118589 -0.130248 -0.107403 0 0	-0.58397 -2.77621 -2.41059 -0.93475 -0.869738 0.101505	2.06536 26.7191 -0.59988 1.41455 0.178979 -0.512896	0.0676394 0.909458 0.226459 -0.415504 -2.03703 -1.80623	6.86578 12.359 -3.21262	
0.0641061	-4.66838 -3.13059 0.108127 -0.217197 1.62075 3.63295	-5.05447e-05 0.202678 -0.134147 -0.104598 0 0	-0.528214 0.634766 1.1692 0.494313 -0.840518 0.101505	-2.86539 -27.4262 -1.56282 -1.70774 -0.177239 -1.27946	0.067625 0.909465 0.22716 -0.415518 -2.03741 -1.80589	5.26247 10.444 -1.95395	
0.0721302	-4.6684 -3.12865 0.106916 -0.218048 1.62075 3.63298	-5.05447e-05 0.289348 -0.142967 -0.092063 0 0	-0.539553 0.414585 1.99811 1.2783 -0.986313 0.0435019	-5.21751 -51.6992 -4.40031 -2.74014 -0.378732 -1.78713	0.0676479 0.90943 0.228257 -0.415617 -2.03751 -1.80577	4.42335 9.11042 -1.6153	
0.0800573	-4.66843 -3.12633 0.105586 -0.218791 1.62073 3.63299	-5.05447e-05 0.330523 -0.164328 -0.0778971 0 0	-0.646318 -0.612532 0.417521 0.512138 -0.884038 0.0580025	-2.13917 -20.4373 -2.73765 -0.983304 -0.148814 -1.20847	0.0676746 0.909346 0.229654 -0.415623 -2.03725 -1.80602	4.46231 9.82068 -1.00694	
0.0880508	-4.66848 -3.12379 0.104065 -0.219474 1.6207 3.63297	0 0.326572 -0.198498 -0.0902176 0 0	-0.802792 -0.74977 -1.47356 -0.330759 -0.898565 0.101505	3.88684 44.2644 2.49401 3.23708 0.366518 -0.266457	0.0677233 0.909246 0.231159 -0.415601 -2.03694 -1.80638	5.75095 11.1573 -1.51641	
0.0960688	-4.66852 -3.12116 0.10234 -0.22036 1.62073 3.63299	-0.00398827 0.312217 -0.233575 -0.110447 0 0	-0.626037 0.487959 -0.678571 -0.28341 -0.9278 0.101505	2.93321 36.4601 3.49157 2.52633 0.286657 -0.430042	0.0677671 0.909178 0.232624 -0.415658 -2.03691 -1.80639	6.51215 11.8645 -1.36656	
